subset_rank,system,policy,mean_H_subset
552,5056,R2_cand_5056,1.2328710053209433
553,3375,R2_cand_3375,1.2328883388833725
554,4037,R2_cand_4037,1.2338285320636817
555,3949,R2_cand_3949,1.2338624766206552
556,1931,R2_cand_1931,1.2339141344752353
557,3770,R2_cand_3770,1.2343476574392462
558,5569,R2_cand_5569,1.2344825339239283
559,4050,R2_cand_4050,1.2345765399241155
560,4103,R2_cand_4103,1.2347593543086184
561,5065,R2_cand_5065,1.2348234125831379
562,3463,R2_cand_3463,1.234884877648108
563,4094,R2_cand_4094,1.2350974051896837
564,3456,R2_cand_3456,1.235104367478776
565,5082,R2_cand_5082,1.23511900627258
566,1340,R2_cand_1340,1.2351457340692982
567,3379,R2_cand_3379,1.2352073044688345
568,3815,R2_cand_3815,1.2353894906154075
569,1678,R2_cand_1678,1.2354049321378389
570,6066,R2_cand_6066,1.235826185968618
571,3843,R2_cand_3843,1.23609943094994
572,2003,R2_cand_2003,1.2361078774179313
573,3551,R2_cand_3551,1.236349441410706
574,1097,R2_cand_1097,1.236419964737338
575,2902,R2_cand_2902,1.2365979505624363
576,5319,R2_cand_5319,1.236781478460183
577,1943,R2_cand_1943,1.2370058343439592
578,3779,R2_cand_3779,1.2375558020308972
579,1897,R2_cand_1897,1.237626187766532
580,1447,R2_cand_1447,1.237745128838621
581,3284,R2_cand_3284,1.237808296127794
582,5650,R2_cand_5650,1.2379348335713627
583,1106,R2_cand_1106,1.2379661502547634
584,1454,R2_cand_1454,1.2380395865003164
585,1197,R2_cand_1197,1.2380485502213951
586,1914,R2_cand_1914,1.2383128583193543
587,6388,R2_cand_6388,1.2383764817226086
588,486,R2_cand_486,1.2384354526954626
589,5589,R2_cand_5589,1.238621894534392
590,6063,R2_cand_6063,1.2388502804057748
591,1907,R2_cand_1907,1.238929454806115
592,6235,R2_cand_6235,1.2390029341759026
593,1840,R2_cand_1840,1.2390346990281147
594,1904,R2_cand_1904,1.2393327028972723
595,1933,R2_cand_1933,1.2394359184454333
596,711,R2_cand_711,1.2397210335625486
597,5949,R2_cand_5949,1.2398017618378638
598,4995,R2_cand_4995,1.2398150426110839
599,5974,R2_cand_5974,1.2398901130066886
600,4030,R2_cand_4030,1.2399871404067926
601,1175,R2_cand_1175,1.240533376773954
602,962,R2_cand_962,1.240579075390611
603,6056,R2_cand_6056,1.240706250187665
604,4036,R2_cand_4036,1.2407229034409628
605,6316,R2_cand_6316,1.2409477421788118
